chebi_id,name,n_reactions,share_of_reactions,smiles
CHEBI:507393, taurine,45,0.002425,[NH3+]CCS(=O)(=O)[O-]
CHEBI:57642, dihydroxyacetone phosphate,45,0.002425,O=C(CO)COP(=O)([O-])[O-]
CHEBI:57385, tetradecanoyl-CoA,44,0.002371,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:57392, propanoyl-CoA,44,0.002371,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:57603, ethanolamine,44,0.002371,[NH3+]CCO
CHEBI:29806, fumarate,43,0.002317,O=C([O-])/C=C/C(=O)[O-]
CHEBI:57292, succinyl-CoA,43,0.002317,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]
CHEBI:16870, sn-glycerol 3-phosphocholine,42,0.002263,C[N+](C)(C)CCOP(=O)([O-])OC[C@H](O)CO
CHEBI:46979, N-(acetyl)-sphing-4-enine,42,0.002263,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(C)=O
CHEBI:57383," (9Z,12Z)-octadecadienoyl-CoA",42,0.002263,CCCCC/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:58601, alpha-D-glucose 1-phosphate,42,0.002263,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
CHEBI:29979,,41,0.002209,*N[C@@H](Cc1c[nH]cn1)C(*)=O
CHEBI:57453," (6S)-5,6,7,8-tetrahydrofolate",41,0.002209,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
CHEBI:57375, dodecanoyl-CoA,40,0.002155,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CHEBI:58115, GMP,40,0.002155,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:58702, phosphoenolpyruvate,40,0.002155,C=C(OP(=O)([O-])[O-])C(=O)[O-]
CHEBI:74411,,40,0.002155,*O[C@H]1[C@@H](O)[C@H](n2cnc3c(N)ncnc32)O[C@@H]1COP(*)(=O)[O-]
CHEBI:15903, beta-D-glucose,39,0.002102,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
CHEBI:35418, N-acetylneuraminate,39,0.002102,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(O)(C(=O)[O-])C[C@@H]1O
CHEBI:128769, isopentenyl diphosphate,38,0.002048,C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-]
CHEBI:25629, octadecanoate,38,0.002048,CCCCCCCCCCCCCCCCCC(=O)[O-]
CHEBI:57595, L-histidine,38,0.002048,[NH3+][C@@H](Cc1c[nH]cn1)C(=O)[O-]
CHEBI:58297, glutathione disulfide,38,0.002048,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
CHEBI:78449,,38,0.002048,*N[C@@H](COP(=O)([O-])OCC(C)(C)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])C(*)=O
CHEBI:38290, L-ascorbate,37,0.001994,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
CHEBI:52639, an N-acylsphing-4-enine,37,0.001994,[1*]C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC
